"id";"brand_name";"Title";"Rating";"rating_count";"reviews";"Current Price";"Original Price";"Discount";"Processor";"ram_capacity";"Operating System";"StorageCapacity";"Screen Size"
476;"Acer";"Acer Aspire 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A315-59 Thin and Light...";4.0;726;72656;45990;51999;"11";"Intel Core i5 Processor (12th Gen)";16;"Windows 11";"512";"39.62 cm (15.6 Inch)"
477;"HP";"HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2304au Thin and Light Laptop";0.0;0;0;41990;48419;"13";"AMD Ryzen 5 Hexa Core Processor";8;"Windows 11";"512";"39.62 cm (15.6 inch)"
478;"DELL";"DELL Inspiron AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 14 Laptop T...";3.0;4;40;55479;70575;"21";"AMD Ryzen 5 Hexa Core Processor";8;"Windows 11";"512";"35.56 cm (14 Inch)"
479;"MSI";"MSI GF63 Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...";4.3;592;59249;56990;83990;"32";"Intel Core i5 Processor (11th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
480;"ASUS";"ASUS ROG Strix G15 AMD Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...";4.5;2066;2066259;68990;90990;"24";"AMD Ryzen 7 Octa Core Processor";8;"Windows 11";"512";"39.62 cm (15.6 inch)"
481;"HP";"HP 14s (2024) Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin an...";4.3;12472;12472943;39590;49509;"20";"Intel Core i3 Processor (11th Gen)";8;"Windows 11";"512";"35.56 cm (14 inch)"
482;"DELL";"DELL AMD Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and L...";4.1;183;18321;37500;55476;"32";"AMD Ryzen 3 Dual Core Processor";8;"Windows 11";"1024 ";"39.62 cm (15.6 inch)"
483;"SAMSUNG";"SAMSUNG Galaxy Book2 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) NP750XED-KC3IN ...";4.4;521;52157;67990;88990;"23";"Intel Core i5 Processor (12th Gen)";0;"Windows 11";"512";"39.62 cm (15.6 Inch)"
484;"ASUS";"ASUS ROG Ally AMD Ryzen Z1 Octa Core Extreme - (16 GB/512 GB SSD/Windows 11 Home) RC71L-NH001W Handhel...";4.5;518;51893;54400;83990;"35";"AMD Ryzen Z1 Octa Core Processor";16;"Windows 11";"512";"17.78 cm (7 Inch) Touchscreen"
485;"Lenovo";"Lenovo IdeaPad Slim 1 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...";4.0;267;26713;32990;52890;"37";"AMD Ryzen 3 Quad Core Processor";8;"Windows 11";"512";"39.62 cm (15.6 inch)"
